,NaiveBayes,RandomForest,DecisionTree,LogisticRegression,KNN,SVM,BBC,IBC,PBC,WPBC2,WPIBC
ant-1.3--CK_PROC.csv,0.6875000000000001,0.9322916666666666,0.6562499999999999,0.828125,0.8463541666666666,0.4270833333333333,0.9817708333333334,0.9817708333333334,0.9817708333333334,0.9791666666666669,0.9505208333333334
ant-1.4--CK_PROC.csv,0.4517857142857142,0.7080357142857143,0.713392857142857,0.5624999999999999,0.6428571428571428,0.5589285714285714,0.8375,0.8839285714285714,0.8375,0.8294642857142857,0.8303571428571429
ant-1.5--CK_PROC.csv,0.5934744268077602,0.6481481481481481,0.6763668430335097,0.6137566137566137,0.7283950617283952,0.6208112874779541,0.8350970017636684,0.8862433862433863,0.7927689594356261,0.7962962962962963,0.8386243386243386
ant-1.6--CK_PROC.csv,0.7837276878372769,0.8455790784557908,0.744499792444998,0.7745952677459527,0.7546699875466998,0.7725197177251972,0.8825238688252387,0.8794105437941054,0.854711498547115,0.8414279784142799,0.8567870485678706
camel-1.0--CK_PROC.csv,0.936026936026936,0.8956228956228955,0.7744107744107743,0.925925925925926,0.9057239057239056,0.8114478114478114,0.9764309764309764,0.9764309764309764,0.9730639730639732,0.9730639730639732,0.9848484848484848
camel-1.2--CK_PROC.csv,0.5898083398083397,0.7397047397047396,0.5918155918155917,0.6279461279461279,0.7235172235172235,0.6824656824656825,0.7957135457135457,0.7757057757057757,0.7922817922817923,0.7768065268065268,0.7958430458430458
camel-1.4--CK_PROC.csv,0.6859066328219843,0.7202295552367288,0.6697936210131331,0.7312658646948461,0.6766913144244565,0.6859066328219843,0.7749144686016995,0.770058492440128,0.7594636353603355,0.7410881801125704,0.781260346540117
camel-1.6--CK_PROC.csv,0.6053260090757105,0.6856142026908686,0.5866969190351087,0.6341055648435634,0.6250298543109625,0.6306026590239632,0.7418995302921743,0.7269723748109228,0.730156834646923,0.7159063768808216,0.7337791577103734
Eclipse_JDT_Core--CK_PROC.csv,0.8217669422485064,0.8164262868867298,0.7514332267213807,0.7959085148753847,0.7915635749200409,0.7957274757105788,0.8718242713173616,0.8624102347474503,0.8438537203548367,0.8476253696216282,0.8515478848590912
Eclipse_PDE_UI--CK_PROC.csv,0.7601429996674426,0.7642583970734952,0.7215247755237778,0.7723229132025274,0.778454439640838,0.7699534419687396,0.8286290322580645,0.8081559694047222,0.809673262387762,0.8097979714000666,0.8275482208180912
Equinox_Framework--CK_PROC.csv,0.8475687103594081,0.8334038054968288,0.7995771670190275,0.8135306553911206,0.7966173361522197,0.810570824524313,0.8845665961945032,0.8862579281183933,0.8750528541226216,0.8608879492600423,0.8877378435517971
ivy-2.0--CK_PROC.csv,0.8489583333333333,0.8322916666666667,0.7291666666666666,0.7760416666666666,0.8057291666666667,0.740625,0.909375,0.9130208333333334,0.8968750000000001,0.8968750000000001,0.8973958333333334
jedit-3.2--CK_PROC.csv,0.7582614942528736,0.8045977011494253,0.6522988505747126,0.831896551724138,0.8297413793103449,0.8074712643678162,0.9216954022988506,0.9091235632183908,0.9055316091954022,0.8864942528735633,0.8735632183908046
jedit-4.0--CK_PROC.csv,0.7737313432835821,0.8107462686567164,0.6910447761194031,0.7850746268656716,0.7388059701492538,0.7665671641791045,0.855820895522388,0.8531343283582089,0.8402985074626864,0.8379104477611939,0.817910447761194
jedit-4.1--CK_PROC.csv,0.8665008291873963,0.8402432283029299,0.6907131011608624,0.839690436705362,0.8446655610834715,0.8242122719734661,0.9126589275843008,0.904367053620785,0.9115533443891654,0.9032614704256496,0.8933112216694307
jedit-4.2--CK_PROC.csv,0.8391990291262136,0.8385922330097088,0.7894417475728155,0.8361650485436893,0.8191747572815534,0.8264563106796117,0.9271844660194174,0.9326456310679612,0.9174757281553396,0.8859223300970874,0.9150485436893204
jedit-4.3--CK_PROC.csv,0.8551724137931035,0.5839080459770114,0.4344827586206896,0.7310344827586207,0.596551724137931,0.4068965517241379,0.9517241379310344,0.9758620689655172,0.9517241379310344,0.9471264367816092,0.9666666666666666
log4j-1.0--CK_PROC.csv,0.9123563218390804,0.9195402298850576,0.9094827586206896,0.9080459770114944,0.8419540229885057,0.9022988505747126,0.9727011494252872,0.9698275862068966,0.9540229885057472,0.9583333333333331,0.9339080459770116
Lucene--CK_PROC.csv,0.7026721014492753,0.7708333333333334,0.6476449275362319,0.7531702898550724,0.7257699275362319,0.7176177536231885,0.8547327898550724,0.84375,0.8002717391304347,0.8257472826086956,0.833786231884058
Mylyn--CK_PROC.csv,0.6367078471745596,0.7380347746511097,0.6921642644703729,0.7151567147105925,0.6834134065431252,0.6102836879432624,0.7884008236101578,0.7768817204301076,0.7655342026996109,0.764561885152139,0.7981011210249371
poi-2.0--CK_PROC.csv,0.7012987012987013,0.7564935064935064,0.6525974025974026,0.6699134199134199,0.860930735930736,0.6623376623376622,0.9247835497835498,0.8695887445887447,0.91991341991342,0.9177489177489178,0.9193722943722944
synapse-1.0--CK_PROC.csv,0.9087301587301588,0.9087301587301588,0.7222222222222221,0.9047619047619048,0.8373015873015872,0.8928571428571428,0.9662698412698412,0.9761904761904764,0.9662698412698412,0.9523809523809524,0.988095238095238
synapse-1.1--CK_PROC.csv,0.6484042553191489,0.774468085106383,0.4792553191489361,0.6074468085106384,0.627127659574468,0.7755319148936171,0.8547872340425532,0.8707446808510638,0.8457446808510639,0.8441489361702128,0.8505319148936169
