,NaiveBayes,RandomForest,DecisionTree,LogisticRegression,KNN,SVM
0,0.6875000000000001,0.9322916666666666,0.6562499999999999,0.828125,0.8463541666666666,0.4270833333333333
1,0.45178571428571423,0.7080357142857143,0.713392857142857,0.5624999999999999,0.6428571428571428,0.5589285714285714
2,0.5934744268077602,0.6481481481481481,0.6763668430335097,0.6137566137566137,0.7283950617283952,0.6208112874779541
3,0.7837276878372769,0.8455790784557908,0.744499792444998,0.7745952677459527,0.7546699875466998,0.7725197177251972
4,0.936026936026936,0.8956228956228955,0.7744107744107743,0.9259259259259259,0.9057239057239057,0.8114478114478114
5,0.5898083398083397,0.7397047397047396,0.5918155918155917,0.6279461279461279,0.7235172235172235,0.6824656824656825
6,0.6859066328219843,0.7202295552367288,0.6697936210131331,0.7312658646948461,0.6766913144244565,0.6859066328219843
7,0.6053260090757105,0.6856142026908686,0.5866969190351087,0.6341055648435634,0.6250298543109625,0.6306026590239632
8,0.8217669422485064,0.8164262868867298,0.7514332267213807,0.7959085148753847,0.7915635749200409,0.7957274757105788
9,0.7601429996674426,0.7642583970734952,0.7215247755237778,0.7723229132025274,0.778454439640838,0.7699534419687396
10,0.8475687103594081,0.8334038054968288,0.7995771670190275,0.8135306553911206,0.7966173361522197,0.810570824524313
11,0.8489583333333333,0.8322916666666667,0.7291666666666666,0.7760416666666666,0.8057291666666667,0.740625
12,0.7582614942528736,0.8045977011494253,0.6522988505747126,0.831896551724138,0.8297413793103449,0.8074712643678162
13,0.7737313432835821,0.8107462686567164,0.6910447761194031,0.7850746268656716,0.7388059701492538,0.7665671641791045
14,0.8665008291873963,0.8402432283029299,0.6907131011608624,0.839690436705362,0.8446655610834715,0.8242122719734661
15,0.8391990291262136,0.8385922330097088,0.7894417475728155,0.8361650485436893,0.8191747572815534,0.8264563106796117
16,0.8551724137931035,0.5839080459770114,0.43448275862068964,0.7310344827586207,0.596551724137931,0.40689655172413797
17,0.9123563218390804,0.9195402298850575,0.9094827586206896,0.9080459770114943,0.8419540229885057,0.9022988505747126
18,0.7026721014492753,0.7708333333333334,0.6476449275362319,0.7531702898550724,0.7257699275362319,0.7176177536231885
19,0.6367078471745596,0.7380347746511097,0.6921642644703729,0.7151567147105925,0.6834134065431252,0.6102836879432624
20,0.7012987012987013,0.7564935064935064,0.6525974025974026,0.6699134199134199,0.860930735930736,0.6623376623376622
21,0.9087301587301587,0.9087301587301587,0.7222222222222221,0.9047619047619048,0.8373015873015872,0.8928571428571428
22,0.6484042553191489,0.774468085106383,0.47925531914893615,0.6074468085106384,0.627127659574468,0.7755319148936171
23,0.7405247813411079,0.7674927113702623,0.653061224489796,0.7747813411078718,0.6865889212827987,0.72667638483965
24,0.6930555555555555,0.7694444444444445,0.5731481481481481,0.7513888888888889,0.7328703703703703,0.7689814814814814
25,0.5493606138107417,0.8629156010230179,0.7854219948849105,0.8051150895140664,0.7345268542199489,0.7048593350383632
26,0.7233468286099866,0.8852901484480432,0.827710301394512,0.7453891138101665,0.7433648223121908,0.7840755735492577
