NaiveBayes,RandomForest,DecisionTree,LogisticRegression,KNN,SVM,BBC,IBC,WPBC2,WPIBC
0.6770833333333334,0.8072916666666667,0.5208333333333333,0.8229166666666666,0.8984375,0.8020833333333334,0.9895833333333334,0.9973958333333334,0.9791666666666666,0.984375
0.6803418803418804,0.4581196581196581,0.594017094017094,0.5025641025641026,0.4982905982905983,0.535042735042735,0.8128205128205128,0.9017094017094016,0.7897435897435898,0.8871794871794871
0.5836849507735583,0.8255977496483826,0.8382559774964838,0.8635724331926863,0.8326300984528833,0.9113924050632912,0.950070323488045,0.961322081575246,0.950070323488045,0.9690576652601968
0.8205236486486487,0.8450168918918919,0.8509290540540541,0.8496621621621622,0.8291807432432433,0.8526182432432433,0.8910472972972971,0.902027027027027,0.9007601351351352,0.9119510135135136
0.9770408163265308,0.7742346938775511,0.5816326530612246,0.8112244897959183,0.7244897959183674,0.5841836734693877,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.9910714285714286
0.4861434861434861,0.5424112924112924,0.5188422688422688,0.5227272727272728,0.570901320901321,0.5395622895622896,0.6652421652421652,0.7070707070707071,0.6833074333074334,0.7107614607614607
0.6117680180180181,0.7057995495495496,0.6705518018018017,0.6622747747747747,0.6913851351351351,0.5938063063063063,0.7935247747747748,0.8073198198198198,0.7873310810810811,0.8074887387387387
0.5556521739130434,0.6407971014492754,0.5910507246376812,0.6415217391304348,0.6708333333333333,0.6418840579710144,0.7146739130434783,0.7543840579710145,0.7198913043478261,0.7971739130434782
0.7945648900933453,0.8279885576633543,0.7528605841613972,0.7724330021077989,0.790575127973502,0.7653568202348691,0.867359229147847,0.8951746461909063,0.8653643480879254,0.8862541403191809
0.7222755555555556,0.7718755555555555,0.6929422222222223,0.7816177777777777,0.75024,0.7703111111111112,0.8174755555555554,0.8395911111111112,0.81792,0.8379733333333333
0.7233560090702947,0.8147392290249433,0.772562358276644,0.7895691609977324,0.7863945578231293,0.7877551020408163,0.8494331065759637,0.8750566893424037,0.8691609977324263,0.8950113378684807
0.8922670191672174,0.7676801057501652,0.7151354923992068,0.8876404494382021,0.8291473892927957,0.5598149372108394,0.9286186384666224,0.9434897554527428,0.9289491077329808,0.9319233311302048
0.7232529375386518,0.8497217068645639,0.7863327149041435,0.7711811997526283,0.826530612244898,0.821273964131107,0.9081632653061223,0.9335188620902908,0.906617192331478,0.9165120593692022
0.5765765765765766,0.6478978978978979,0.6227477477477478,0.6321321321321322,0.7165915915915916,0.7147147147147147,0.8164414414414415,0.8776276276276276,0.8156906906906907,0.8671171171171171
0.7783305693753455,0.7960199004975125,0.82808181315644,0.8407960199004975,0.7888336097291322,0.8087341072415699,0.892758430071863,0.9226091763405196,0.8833609729132117,0.9176340519624102
0.8089225589225588,0.8863636363636364,0.9002525252525253,0.8737373737373737,0.8257575757575757,0.8821548821548821,0.952020202020202,0.9646464646464644,0.9562289562289562,0.9646464646464646
0.6172413793103447,0.7436781609195402,0.9275862068965516,0.4735632183908045,0.4482758620689655,0.0781609195402298,0.9919540229885058,0.9988505747126436,0.9735632183908044,0.9942528735632185
0.7677419354838709,0.8096774193548386,0.6967741935483871,0.8161290322580645,0.7758064516129032,0.832258064516129,0.9225806451612903,0.964516129032258,0.9290322580645162,0.964516129032258
0.7214673913043479,0.645606884057971,0.6836503623188406,0.713088768115942,0.615715579710145,0.735733695652174,0.8370697463768116,0.864356884057971,0.8346920289855073,0.8653759057971014
0.6649822326826342,0.703251188333564,0.6318704139554202,0.6960981125109604,0.7015898287876691,0.6873529004568739,0.7526997092620795,0.7760279662190225,0.7597489501130646,0.7744819788638148
0.7148217636022514,0.6407129455909943,0.6735459662288931,0.7082551594746718,0.6092870544090057,0.647279549718574,0.8799249530956849,0.9652908067542214,0.8977485928705441,0.9535647279549718
0.4518518518518518,0.7037037037037037,0.7666666666666666,0.6814814814814815,0.7185185185185184,0.7703703703703704,0.9629629629629628,0.9925925925925928,0.9629629629629628,0.9888888888888888
0.7116228070175439,0.7894736842105263,0.4665570175438596,0.7587719298245613,0.7012061403508771,0.6458333333333333,0.8667763157894737,0.8865131578947368,0.856359649122807,0.9391447368421052
0.6715063520871143,0.7994555353901996,0.6792196007259528,0.7450090744101633,0.6016333938294011,0.7477313974591651,0.8548094373865699,0.9174228675136116,0.8579854809437386,0.8938294010889292
0.6392649903288201,0.7495164410058027,0.7321083172147002,0.7292069632495165,0.6895551257253385,0.6992263056092843,0.8375241779497099,0.8834622823984526,0.8143133462282398,0.864119922630561
0.5668374476013041,0.7894736842105263,0.7936655798789007,0.6483465300419191,0.6639496972519794,0.7172799254774103,0.8716814159292036,0.8982300884955752,0.8707498835584536,0.8954354913833256
0.6828609986504722,0.7377417903733693,0.6844354475933424,0.7503373819163293,0.8191632928475032,0.7336932073774178,0.8612235717498875,0.8911381016644174,0.8621232568600989,0.8760683760683761
