,NaiveBayes,RandomForest,DecisionTree,LogisticRegression,KNN,SVM
0,0.7083333333333333,0.6822916666666667,0.7057291666666667,0.7135416666666667,0.6822916666666665,0.8125
1,0.7383928571428572,0.8946428571428572,0.7250000000000001,0.8410714285714286,0.7017857142857142,0.8071428571428572
2,0.6225749559082893,0.6093474426807761,0.5908289241622575,0.6119929453262787,0.48765432098765427,0.5167548500881834
3,0.7056870070568702,0.7791614777916148,0.6519302615193026,0.7173100871731009,0.6973848069738481,0.7787463677874638
4,0.8552188552188552,0.9326599326599327,0.5959595959595959,0.835016835016835,0.6127946127946128,0.8922558922558923
5,0.6915306915306916,0.8216135716135716,0.7667055167055167,0.7573167573167573,0.7953250453250453,0.8026418026418026
6,0.7546076591987639,0.825129676636133,0.7565390133539345,0.7804878048780487,0.7992495309568481,0.7601809954751131
7,0.7848897380781785,0.8724623835681873,0.7579412467160257,0.8477828198391849,0.8286362550752329,0.8155401639996815
8,0.8134089674732967,0.871130287852272,0.7999818960835194,0.8220385009957154,0.7946110675276084,0.8271679439985516
9,0.7217326238776188,0.8089457931493182,0.6808488526770868,0.755611905553708,0.7175133022946457,0.7144579314931826
10,0.8076109936575053,0.8528541226215645,0.7923890063424947,0.8211416490486257,0.7579281183932347,0.8173361522198732
11,0.7947916666666668,0.8625,0.6854166666666667,0.7927083333333333,0.6802083333333333,0.7979166666666667
12,0.8204022988505747,0.9310344827586207,0.9163074712643678,0.9008620689655173,0.9076867816091954,0.9209770114942528
13,0.833731343283582,0.8483582089552238,0.793731343283582,0.8197014925373134,0.824776119402985,0.8191044776119403
14,0.7888336097291321,0.8535102266445549,0.8123272526257601,0.8120508568269762,0.8173023770038695,0.7855168601437259
15,0.8962378640776698,0.9320388349514563,0.8282766990291264,0.9065533980582524,0.9265776699029126,0.8859223300970874
16,0.832183908045977,0.6724137931034482,0.4896551724137931,0.8091954022988505,0.6471264367816092,0.7586206896551724
17,0.8563218390804597,0.882183908045977,0.7471264367816091,0.8390804597701149,0.82183908045977,0.8678160919540229
18,0.7815896739130435,0.7866847826086956,0.6260190217391304,0.7601902173913044,0.7575860507246376,0.734375
19,0.6637382749942805,0.7999313658201785,0.7049416609471516,0.7154884465797301,0.7157629832990162,0.5489247311827956
20,0.7884199134199135,0.7916666666666666,0.6877705627705627,0.7987012987012987,0.7575757575757576,0.670995670995671
21,0.8174603174603176,0.8095238095238095,0.8392857142857142,0.8174603174603174,0.5992063492063493,0.25
22,0.676595744680851,0.8085106382978723,0.7787234042553192,0.7382978723404255,0.753723404255319,0.7287234042553192
23,0.6953352769679301,0.8414723032069971,0.6840379008746356,0.7325072886297376,0.7343294460641399,0.7492711370262392
24,0.7800925925925927,0.8569444444444444,0.7305555555555556,0.8027777777777778,0.6847222222222222,0.799074074074074
25,0.7913043478260869,0.9235294117647059,0.8552429667519182,0.8726342710997442,0.8877237851662403,0.8557544757033249
26,0.7932973459289249,0.9010346378767431,0.7878992352676564,0.8690958164642376,0.8279352226720648,0.8767431399010347
